species_orig,species,lifestage,movement_type,location_habitat,parameter,movement_area_km2,linear_dist_orig,linear_dist_km,linear_dist_calc,Source
Haemulon flavolineatum Juveniles and small adults,Haemulon flavolineatum ,juveniles and small adults,home range (diurnal schooling sites to nocturnal foraging grounds),"Tobacco Cay, Belize (lagoon patch reefs, sand flats)TMR, UO",Range 10,NA,0-0.199,0.0995,,Burke (1995)
Haemulon flavolineatum Juveniles and small adults,Haemulon flavolineatum ,juveniles and small adults,home range (diurnal schooling sites to nocturnal foraging grounds),"Tobacco Cay, Belize (lagoon patch reefs, sand flats)TMR, UO",Mean 10,NA,0.088,0.088,,Burke (1995)
Haemulon flavolineatum,Haemulon flavolineatum,,home range (crepuscular feeding migrations),"St. Croix, U.S. Virgin Islands (patch reefs and seagrass) TMR",Range 100s,NA,0.1-0.3,0.2,,Ogden & Ehrlich (1977)
Haemulon plumieri,Haemulon plumieri,,home range (crepuscular feeding migrations),"St. Croix, U.S. Virgin Islands (patch reefs and seagrass) TMR",Range 100s,NA,0.1-0.3,0.2,,Ogden & Ehrlich (1977)
Haemulon plumieri,Haemulon plumieri,,home range (diurnal sites to nocturnal foraging grounds),Puerto Rico and Florida (coral reef) AAT,Range 5,NA,0.1-0.56,0.33,,Tulevech (1991) in Burke (1995)
Haemulon plumieri,Haemulon plumieri,,home range (diurnal sites to nocturnal foraging grounds),Puerto Rico and Florida (coral reef) AAT,Mean 5,NA,0.303,0.303,,Tulevech (1991) in Burke (1995)
Haemulon plumieri,Haemulon plumieri,,"home range (dusk/dawn movement, foraging)",Puerto Rico and Florida (inshore and patch reefs) AAT,Range 5,NA,0.1-0.56,0.33,,Tulevech & Recksiek (1994)
Haemulon plumieri,Haemulon plumieri,,home range (among reefs),Puerto Rico and Florida (inshore and patch reefs) AAT,Maximum 1,NA,1,1,,Tulevech & Recksiek (1994)
Haemulon sciurus,Haemulon sciurus,,home range (diurnal shelter sites to nocturnal feeding areas),"St. John, U.S. Virgin Islands (boulder/reef zones adjacent to seagrass beds) AAT",Range 11,NA,<0.02-0.767,0.3935,,Beets et al. (2003)
Haemulon sciurus,Haemulon sciurus,,home range (diurnal shelter sites to nocturnal feeding areas),"St. John, U.S. Virgin Islands (boulder/reef zones adjacent to seagrass beds) AAT",Mean (SD) 11,NA,0.279 (0.228),0.279,,Beets et al. (2003)
Haemulon sciurus Juveniles and small adults,Haemulon sciurus ,juveniles and small adults,home range (diurnal schooling sites to nocturnal foraging grounds),"Tobacco Cay, Belize (lagoon patch reefs, seagrass beds)TMR, UO",Range 10,NA,0-0.199,0.0995,,Burke (1995)
Haemulon sciurus Juveniles and small adults,Haemulon sciurus ,juveniles and small adults,home range (diurnal schooling sites to nocturnal foraging grounds),"Tobacco Cay, Belize (lagoon patch reefs, seagrass beds)TMR, UO",Mean 10,NA,0.088,0.088,,Burke (1995)
Kyphosus sectatrix,Kyphosus sectatrix,,home range,"St Lucia, West Indies (coral reef) AAT",Range (MCP) 11,0.0331945,0.16-1.26,0.71,,Eristhee & Oxenford (2001)
Kyphosus sectatrix,Kyphosus sectatrix,,home range,"St Lucia, West Indies (coral reef) AAT",Mean (SD) (MCP) 11,0.034423,0.547  (0.400),0.547,,Eristhee & Oxenford (2001)
Kyphosus sydneyanus,Kyphosus sydneyanus,,home range,"Ningaloo Reef, Western Australia (coral reefs) PAT",Range (KUD95) 41,12.45,<5,5,,Pillans et al. (2011)
Kyphosus sydneyanus,Kyphosus sydneyanus,,home range,"Ningaloo Reef, Western Australia (coral reefs) PAT",Mean (SD) (KUD95)41,10.7,,3.691024672,,Pillans et al. (2011)
Cheilinus undulatus,Cheilinus undulatus,,home range (daily),"New Caledonia (coral reef, lagoon) PAT",Minimum 1 ,0.05,0.25,0.25,,Chateau & Wantiez (2007)
Cheilinus undulatus,Cheilinus undulatus,,home range (spawning),"Palau, Micronesia (outer barrier reef) E",Maximum NA,NA,>2-3,2.5,,Colin (2010)
Cheilinus undulatus,Cheilinus undulatus,,home range (spawning),"Palau, Micronesia (outer barrier reef) E",Maximum NA,NA,10-May,7.5,,Colin (2012)
Coris aygula,Coris aygula,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Range (KUD95) 41,10.35,<3.5,3.5,,Pillans et al. (2011)
Coris aygula,Coris aygula,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Mean (SD) (KUD95) 41,9.6,,3.496154978,,Pillans et al. (2011)
Lethrinus nebulosus,Lethrinus nebulosus,,home range (daytime resting areas),New Caledonia (lagoon patch reefs and soft bottom) PAT ,Minimum 3,0.5,0.707 Square,0.707,Square,Chateau & Wantiez (2008a)
Lethrinus nebulosus,Lethrinus nebulosus,,home range (movement to nightime feeding areas),New Caledonia (lagoon patch reefs and soft bottom) PAT ,Minimum 3,0.5,>0.707 Square,0.707,Square,Chateau & Wantiez (2008a)
Lethrinus nebulosus,Lethrinus nebulosus,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Range (KUD95) 41,14.35,2.5-3.5,3,,Pillans et al. (2011)
Lethrinus nebulosus,Lethrinus nebulosus,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Mean (SD) (KUD95) 41,9.2,,3.422543471,,Pillans et al. (2011)
Aprion virescens,Aprion virescens,,"home range (diel, tidal)",Northwest Hawaiian Islands (high energy spur and groove outside barrier reef) PAT,Maximum 27,NA,12,12,,Meyer et al. (2007b)
Lutjanus apodus,Lutjanus apodus,,home range (daytime),"Caribbean, Spanish Water Bay, Curacao, Netherland Antilles (mangroves, rocky shoreline, seagrass, coral reef) TMR, UO",Range 52,NA,0.006-0.325,0.1655,,Verweij et al. (2007)
Lutjanus apodus,Lutjanus apodus,,home range (daytime),"Caribbean, Spanish Water Bay, Curacao, Netherland Antilles (mangroves, rocky shoreline, seagrass, coral reef) TMR, UO",Medians 52,NA,0.029-0.217,0.123,,Verweij et al. (2007)
Lutjanus campechanus,Lutjanus campechanus,,home range,"Alabama, Gulf of Mexico (artificial reef) AAT",Range 19,NA,~0-0.76,0.38,,Szedlmayer (1997)
Lutjanus campechanus,Lutjanus campechanus,,home range,"Alabama, Gulf of Mexico (artificial reef) AAT",Mean (SD) 19,NA,0.146 (0.270),0.146,,Szedlmayer (1997)
Lutjanus carponotatus,Lutjanus carponotatus,,home range,"Lizard Island, Great Barrier Reef (reef slopes and backreef) TMR",Maximum 55,NA,>0.05,0.05,,Zeller et al. (2003)
Lutjanus griseus,Lutjanus griseus,,home range (daily movements among mangroves and seagrasses),"Biscayne Bay, Florida Keys (mangrove, seagrass, offshore coral reefs) PAT",Half (50%) 14,NA,<1 MFF,1,MFF,Lou et al. (2009)
Mulloidichthys flavolineatus,Mulloidichthys flavolineatus,,home range (day),"Kaneohe Bay, Oahu, Hawai'i (coral patch reef, reef flat) AAT",Range 3,0.0022,,0.052925674,,Holland et al. (1993a)
Mulloidichthys flavolineatus,Mulloidichthys flavolineatus,,home range (day),"Kaneohe Bay, Oahu, Hawai'i (coral patch reef, reef flat) AAT",Mean 3,0.002533,,0.056790103,,Holland et al. (1993a)
Mulloidichthys flavolineatus,Mulloidichthys flavolineatus,,home range (night),"Kaneohe Bay, Oahu, Hawai'i (coral patch reef, reef flat) AAT",Range 3,0.0084,,0.103417659,,Holland et al. (1993a)
Mulloidichthys flavolineatus,Mulloidichthys flavolineatus,,home range (night),"Kaneohe Bay, Oahu, Hawai'i (coral patch reef, reef flat) AAT",Mean 3,0.008267,,0.102595669,,Holland et al. (1993a)
Mulloidichthys flavolineatus,Mulloidichthys flavolineatus,,home range (crepuscular),"Kaneohe Bay, Oahu, Hawai'i (coral patch reef, reef flat) AAT",Range 4,NA,0.075-0.6,0.3375,,Holland et al. (1993a)
Parupeneus cyclostomus,Parupeneus cyclostomus,,home range,"Kealakekua Bay, Hawai'i (fringing reef slope) PAT",Maximum 9,NA,0.8 MFF,0.8,MFF,Meyer et al. (2010a)
Parupeneus porhyreus,Parupeneus porhyreus,,home range (diurnal),"Kaneohe Bay, Oahu, Hawai'i (shallow patch reef, reef flat) AAT, PAT","Range (MCP, GSA) 5",0.0220815,0.2-0.573 MFF,0.3865,MFF,Meyer et al. (2000)
Parupeneus porhyreus,Parupeneus porhyreus,,home range (diurnal),"Kaneohe Bay, Oahu, Hawai'i (shallow patch reef, reef flat) AAT, PAT","Mean (SD) (MCP, GSA) 5",0.0198,0.293 (0.139) MFF,0.293,MFF,Meyer et al. (2000)
Parupeneus trifasciatus,Parupeneus trifasciatus,,home range,"Kealakekua Bay, Hawai'i (fringing reef slope) PAT",Maximum 4,NA,1.1 MFF,1.1,MFF,Meyer et al. (2010a)
Gymnothorax prasinus,Gymnothorax prasinus,,"home range (feeding, daily, seasonal)","Cape Rodney to Okari Point, New Zealand (rocky reef) AAT, PAT",Range (MCP) 5,0.0058935,0.045-0.114 Circle,0.0795,Circle,Bassett & Montgomery (2011)
Centropyge ferrugatus,Centropyge ferrugatus,,home range ,"Okinawa, Japan (coral reef edge) UO",Range (male) 2,0.000078,<0.010 Circle,0.01,Circle,Sakai & Kohda (1995)
Centropyge ferrugatus,Centropyge ferrugatus,,home range ,"Okinawa, Japan (coral reef edge) UO",Means (females) 6,0.00003,<0.006 Circle,0.006,Circle,Sakai & Kohda (1995)
Dascyllus aruanus,Dascyllus aruanus,,"home range, ontogenetic","French Polynesia, Cook Islands and Great Barrier Reef (sheltered lagoons) UO",Maximum NA,NA,<0.005,0.005,,Holbrook et al. (2000)
Stegastes adjusta,Stegastes adjusta,,"home range (foraging, courtship)","Jamaica, West Indies (coral rubble) UO",Approximate 160,NA,>0.016,0.016,,Bartels (1984)
Bolbometopon muricatum,Bolbometopon muricatum,,"home range (sleeping, feeding, resting)","Roviana Lagoon, Solomon Islands (lagoon) AAT",Range 4,NA,0-7.6,3.8,,Hamilton (2004) 
Bolbometopon muricatum,Bolbometopon muricatum,,"home range (sleeping, feeding, resting)","Roviana Lagoon, Solomon Islands (lagoon) AAT",Mean (SD) 4,NA,2.5 (3.43),2.5,,Hamilton (2004) 
Chlorurus frontalis,Chlorurus frontalis,,home range (spawning),Palau (outer barrier reef slope) NA,Maximum NA,NA,>1.5,1.5,,Colin (2012)
Chlorurus microrhinos,Chlorurus microrhinos,,intra%hyphen%reef (home range),New Caledonia (lagoon patch reefs and soft bottom) PAT,Most (85%) 13,NA,<0.6-2 MFF,1.3,MFF,Chateau & Wantiez (2008b)
Chlorurus microrhinos,Chlorurus microrhinos,,home range ,"Orpheus Island, Great Barrier Reef (continuous fringing reef) PAT",Mean (SD) 4,NA,0.22 (0.02),0.22,,Fox (2012)
Chlorurus microrhinos,Chlorurus microrhinos,,home range ,"Orpheus Island, Great Barrier Reef (continuous fringing reef) PAT",Maximum (SD) 4,NA,1.48 (0.50),1.48,,Fox (2012)
Chlorurus microrhinos,Chlorurus microrhinos,,home range (daily),"Orpheus Island, Great Barrier Reef (reef crest and upper reef slope) AAT",Range (KUD95) 7,0.000009,,0.003385138,,Welsh & Bellwood (2011)
Chlorurus microrhinos,Chlorurus microrhinos,,home range (daily),"Orpheus Island, Great Barrier Reef (reef crest and upper reef slope) AAT",Mean (SD) (KUD95) 7,0.000008,,0.003191538,,Welsh & Bellwood (2011)
Chlorurus microrhinos,Chlorurus microrhinos,,home range to sleeping sites,"Orpheus Island, Great Barrier Reef (reef crest and upper reef slope) AAT",Range 7,NA,0-0.0234,0.0117,,Welsh & Bellwood (2011)
Chlorurus microrhinos,Chlorurus microrhinos,,home range to sleeping sites,"Orpheus Island, Great Barrier Reef (reef crest and upper reef slope) AAT",Mean (SD) 7,NA,0.00906 (0.012699),0.00906,,Welsh & Bellwood (2011)
Chlorurus microrhinos,Chlorurus microrhinos,,home range (including sleeping sites),"Orpheus Island, Great Barrier Reef (reef crest and upper reef slope) AAT",Range 7,NA,0.2-0.451 MFF,0.3255,MFF,Welsh & Bellwood (2011)
Chlorurus microrhinos,Chlorurus microrhinos,,home range (including sleeping sites),"Orpheus Island, Great Barrier Reef (reef crest and upper reef slope) AAT",Mean (SD) 7,NA,0.278 (0.089) MFF,0.278,MFF,Welsh & Bellwood (2011)
Chlororus perspecillatus,Chlororus perspecillatus,,home range,"Kealakekua Bay, Hawai'i (fringing reef slope) PAT",Maximum 3,NA,1.2 MFF,1.2,MFF,Meyer et al. (2010a)
Chlorurus sordidus,Chlorurus sordidus,,home range (spawning),Palau (outer barrier reef slope) NA,Maximum NA,NA,0.1-0.2,0.15,,Colin (2012)
Chlororus sordidus,Chlororus sordidus,,home range,"Kealakekua Bay, Hawai'i (fringing reef slope) PAT",Maximum 7,NA,1.2 MFF,1.2,MFF,Meyer et al. (2010a)
Scarus coeruleus,Scarus coeruleus,,home range,Florida Keys (coral reef) PAT,Range 6,NA,0.6->1.1 MPM,0.85,MPM,Lindholm et al. (2006)
Scarus coeruleus,Scarus coeruleus,,home range,Florida Keys (coral reef) PAT,Mean (SD) 6,NA,0.851 (0.223) MPM,0.851,MPM,Lindholm et al. (2006)
Scarus ghobban,Scarus ghobban,,intra%hyphen%reef (home range),New Caledonia (lagoon patch reefs and soft bottom) PAT,Most (85%) 13,NA,"0.6-2 MFF, MPM",1.3,"MFF, MPM",Chateau & Wantiez (2008b)
Scarus ghobban,Scarus ghobban,,"inter%hyphen%reef (home range relocations, excursions)",New Caledonia (lagoon patch reefs and soft bottom) PAT,Some (15%) 13,NA,0.5-6,3.25,,Chateau & Wantiez (2008b)
Scarus prasiognathus,Scarus prasiognathus,,home range (spawning),Palau (outer barrier reef slope) NA,Maximum NA,NA,>1.5,1.5,,Colin (2012)
Scarus rivulatus,Scarus rivulatus,,home range ,"Orpheus Island, Great Barrier Reef (continuous fringing reef) PAT",Mean (SD) 6,NA,0.225 (0.005),0.225,,Fox (2012)
Scarus rivulatus,Scarus rivulatus,,home range ,"Orpheus Island, Great Barrier Reef (continuous fringing reef) PAT",Maximum (SD) 6,NA,0.57 (0.34),0.57,,Fox (2012)
Scarus rivulatus,Scarus rivulatus,,home range (foraging),"Orpheus Island, Great Barrier Reef (fringing coral reef) PAT",Mean (SD) 18,0.024443,0.25 MPM,0.25,MPM,Welsh & Bellwood (2012)
Scarus rubroviolaceous,Scarus rubroviolaceous,,home range,"Kealakekua Bay, Hawai'i (fringing reef slope) PAT",Maximum 12,NA,1.7 MFF,1.7,MFF,Meyer et al. (2010a)
Scarus taeniopterus,Scarus taeniopterus,,home range,Florida Keys (coral reef) PAT,Range 9,NA,0.610-0.897 MPM,0.7535,MPM,Lindholm et al. (2006)
Scarus taeniopterus,Scarus taeniopterus,,home range,Florida Keys (coral reef) PAT,Mean (SD) 9,NA,0.762 (0.126) MPM,0.762,MPM,Lindholm et al. (2006)
Sparisoma viride,Sparisoma viride,,home range,"Martinique, West Indies (coral reef) AAT, TMR",Range (KUD95) 3,0.0222685,0.375-0.28 MFF,0.3275,MFF,Garcia et al. (2011)
Sparisoma viride,Sparisoma viride,,home range,"Martinique, West Indies (coral reef) AAT, TMR",Mean (SD) (KUD95) 3,0.021459,0.569 (0.751) MFF,0.569,MFF,Garcia et al. (2011)
Katsuwonus pelamis,Katsuwonus pelamis,,home range (around fads?),"Comoros Island, West Indian Ocean (pelagic) AAT",Maximum 5,NA,Jun-54,30,,Cayré (1991)
Thunnus albacares,Thunnus albacares,,home range (around fads?),"Comoros Island, West Indian Ocean (pelagic) AAT",Maximum 3,NA,<3-143,73,,Cayré (1991)
Siganus doliatus,Siganus doliatus,,home range ,"Orpheus Island, Great Barrier Reef (continuous fringing reef) PAT",Mean (SD) 10,NA,0.18 (0.010),0.18,,Fox (2012)
Siganus doliatus,Siganus doliatus,,home range ,"Orpheus Island, Great Barrier Reef (continuous fringing reef) PAT",Maximum (SD) 10,NA,1.62 (0.70),1.62,,Fox (2012)
Siganus fuscescens,Siganus fuscescens,,home range (schools),"Bolinao, Philippines (seagrass, coral reef) UO",Maximum 25 schools,NA,2,2,,Bellefleur (1997)
Siganus lineatus,Siganus lineatus,,home range (foraging) ,"Lizard Island, Great Barrier Reef (mangrove, sandy areas, coral reef) AAT",Range (KUD95) 7,0.0315,,0.200267435,,Fox & Bellwood (2011); Fox (2012)
Siganus lineatus,Siganus lineatus,,home range (foraging) ,"Lizard Island, Great Barrier Reef (mangrove, sandy areas, coral reef) AAT",Mean (SD) (KUD95) 7,0.032,0.65 Actual,0.65, Actual,Fox & Bellwood (2011); Fox (2012)
Sphyraena barracuda,Sphyraena barracuda,,home range,"Grand Bahama Bank and Exuma Sound, Bahamas (shallow bank and deeper sound) PAT",Maximum 42,NA,>12,12,,O'Toole et al. (2011)
Hippocampus bargibanti,Hippocampus bargibanti,,home range,"Central Province, Papua New Guinea (gorgonian corals) U0, PI",Maximum 8,NA,Negligible (individual corals),0.01,,Baine et al. (2008)
Hippocampus comes,Hippocampus comes,,home range ,"Bohol, Philippines (reef crest) TMR",Maximum 32,NA,0.022,0.022,,Perante et al. (2002)
