stockid,B0_scalar,r,sigmaP,biomass_max,p,B0,bmsy,fmsy,msy
RMULLMEDGSA6,1.237336544,0.713294486,0.204775816,4450.472896,0.2,5506.732752,2213.032388,0.594412072,1315.453167
RMULLMEDGSA9,1.438276302,0.316216108,0.039400252,5323.940591,0.2,7657.297586,3077.296162,0.263513423,810.9088466
RPORGYSATLC,1.593963392,0.083837893,0.016422871,7260,0.2,11572.17423,4650.597281,0.069864911,324.9135638
RROCKLOBSTERCRA1,0.896312181,0.292984258,0.020102016,3050,0.2,2733.752151,1098.633677,0.244153549,268.2353107
RROCKLOBSTERCRA2,0.875633294,0.545621574,0.048227963,2450,0.2,2145.301571,862.1485864,0.454684645,392.0057239
RROCKLOBSTERCRA3,0.938496385,0.216026769,0.042941803,5850,0.2,5490.203849,2206.389793,0.180022307,397.1993815
RROCKLOBSTERCRA4,0.979909934,0.876917567,0.0857647,2500,0.2,2449.774836,984.5095631,0.730764639,719.4447757
RROCKLOBSTERCRA5,1.02889025,0.222854175,0.022153858,7750,0.2,7973.899441,3204.531347,0.185711813,595.1193259
RROCKLOBSTERCRA7,1.179634331,0.246705415,0.030661435,4000,0.2,4718.537323,1896.274323,0.205587846,389.8509538
RROCKLOBSTERCRA8,0.987366997,0.266085638,0.025504972,21300,0.2,21030.91704,8451.853877,0.221738031,1874.097439
RROCKLOBSTERSAUSNZ,1.555779478,0.254136692,0.042060234,5470,0.2,8510.113743,3420.023849,0.211780577,724.2946236
RROCKLOBSTERSAUSSZ,1.852573694,0.529219579,0.078363553,5120,0.2,9485.177312,3811.880028,0.441016316,1681.101287
RSHRMPMEDGSA1,0.967289002,0.38591322,0.135463147,1450,0.2,1402.569053,563.6610454,0.32159435,181.2702075
RSHRMPMEDGSA17-19,1.120531947,0.554779655,0.08103998,16619.1121,0.2,18622.24603,7483.863021,0.46231638,3459.912457
RSHRMPMEDGSA5,0.085297487,0.0796145,0.069711967,164.9557358,0.2,14.07030972,5.654541909,0.066345417,0.37515294
RSHRMPMEDGSA9-11,1.204087452,0.710123326,0.083015094,5690,0.2,6851.257604,2753.366771,0.591769439,1629.358308
RSNAPGM,0.866364811,0.070779976,0.013134695,201000,0.2,174139.3271,69982.68996,0.058983313,4127.810937
RSOLE5AB,1.039831576,0.163603938,0.019587919,8615.36075,0.2,8958.524145,3600.229932,0.136336615,490.8431617
RSOLEGA,0.985699001,0.056394734,0.028740066,236000,0.2,232624.9642,93486.7558,0.046995611,4393.467238
RSOLEHSTR,1.410830494,0.087789148,0.028494693,24717.92884,0.2,34872.80776,14014.59931,0.073157623,1025.274776
RSQLOBSTERNCH,1.145902895,0.291581752,0.079311721,13900,0.2,15928.05024,6401.126156,0.242984793,1555.376315
SAABALONESA,1.003027613,0.081303359,0.007012651,31400,0.2,31495.06704,12657.16107,0.067752799,857.5580892
SABLEFEBSAIGA,2.01109766,0.034950813,0.030799916,691000,0.2,1389668.483,558476.5959,0.029125677,16266.00907
SABLEFPCAN,0.874048236,0.076161846,0.009266528,127000,0.2,111004.1259,44610.06862,0.063468205,2831.320998
SABLEFPCOAST,1.696566324,0.012387384,0.02006789,415000,0.2,704075.0247,282951.9614,0.01032282,2920.862219
SAILEATL,1.07697084,0.182252235,0.010581401,27400,0.2,29509.00101,11859.00568,0.151876863,1801.108579
SAILWATL,1.12044079,0.043361115,0.00944117,40900,0.2,45826.02829,18416.45299,0.036134262,665.4649461
SARDINWA,1.382328064,0.651097182,0.131220229,1180000,0.2,1631147.116,655521.4424,0.542580985,355673.4701
SARDMEDGSA16,0.770643284,0.308079093,0.119104138,29400,0.2,22656.91254,9105.305,0.256732577,2337.628418
SARDMEDGSA17-18,1.930315867,0.035006086,0.043548371,1710000,0.2,3300840.132,1326533.618,0.029171739,38697.29209
SARDMEDGSA22,5.00124365,0.712950635,0.158690406,14604.31792,0.2,73039.75224,29353.03829,0.594125529,17439.3894
SARDMEDGSA7,0.489661148,0.787027713,0.217561157,231000,0.2,113111.7251,45457.06546,0.655856427,29813.30855
SARDPCOAST,1.482270227,0.061996623,0.128935801,977000,0.2,1448178.012,581990.2632,0.051663853,30067.85923
SARDPVIIIc-IXa,1.508000445,0.262970723,0.117952457,1019355.451,0.2,1537188.473,617761.5713,0.219142269,135377.6724
SARDSA,0.669631439,0.237697441,0.117156846,4160000,0.2,2785666.788,1119497.005,0.198081201,221751.3111
